"RANK","NAME","TEAM","CUR","POS","AGE","GP","MpG","USG%","TO%","FTA","FT%","2PA","2P%","3PA","3P%","eFG%","TS%","PpG","RpG","ApG","SpG","BpG","TOpG","P+R","P+A","P+R+A","VI","ORtg","DRtg"
"","Grant Williams","Cha","*","F","27.3","23","19.5","15","14","37","0.838","34","0.529","89","0.393","0.573","0.617","7.5","4","1.9","0.5","0.3","0.9","11.5","9.3","13.4","7.9","129.6","109.8"
"","Bruce Brown","Den","*","G-F","29.6","66","25","14","15.2","99","0.747","303","0.495","111","0.369","0.511","0.543","7.5","3.9","2.2","1.1","0.2","1.1","11.5","9.7","13.6","6.4","112.7","109.9"
"","Gary Trent Jr.","Mil","*","G","27.1","55","21.1","16.1","7.4","43","0.791","99","0.455","275","0.353","0.509","0.528","7.5","1","1.3","0.5","0.1","0.5","8.6","8.8","9.8","4","105.7","119.6"
"","Nikola Jovic","Mia","*","F","22.8","45","17.6","21.2","17.6","101","0.683","143","0.483","162","0.272","0.443","0.485","7.5","3.4","2.2","0.6","0.4","1.4","10.9","9.8","13.2","8.7","97.5","107.3"
"","Terance Mann","Bro","*","G-F","29.4","55","24.8","13.5","15.7","74","0.797","193","0.534","135","0.363","0.538","0.571","7.5","3.2","3.2","0.7","0.3","1.1","10.7","10.7","13.9","6.9","120.2","113.9"
"","Gui Santos","Gol","*","F","23.7","54","18.1","17.3","17.5","64","0.656","150","0.66","157","0.35","0.591","0.604","7.5","3.7","1.9","0.8","0.4","1.2","11.2","9.4","13.1","8.3","115","107.3"
"","Jaylin Williams","Okc","*","F","23.7","51","20.5","16","16.7","80","0.788","85","0.541","208","0.365","0.546","0.583","7.5","5.6","2.6","0.5","0.7","1.2","13.1","10.1","15.7","9.3","115.4","98.3"
"","LJ Cryer","Gol","*","G","24.4","7","11.8","20","5.5","7","0.857","5","0.4","29","0.483","0.676","0.701","7.4","1.7","0.7","0.1","0","0.3","9.1","8.1","9.9","7","135.5","106"
"","Tyrese Martin","Bro","","F","27","37","18.8","18.7","11.4","26","0.731","103","0.476","152","0.336","0.492","0.507","7.3","2.9","1.9","0.6","0.1","0.9","10.2","9.2","12","7.3","105.9","119.3"
"","Bones Hyland","Min","*","G","25.5","57","14.9","19.6","13.2","54","0.741","121","0.579","200","0.385","0.578","0.596","7.2","1.6","2.6","0.5","0.2","0.9","8.9","9.8","11.4","8.3","121.5","107"
"","Sharife Cooper","Was","*","G","24.8","23","15.6","20.4","21.2","34","0.765","87","0.563","39","0.359","0.556","0.589","7.2","2","2.4","0.3","0.1","1.5","9.2","9.6","11.6","8.4","109","118.4"
"","Caris LeVert","Det","*","G","31.5","45","19.3","17.8","17.6","63","0.683","149","0.497","136","0.331","0.496","0.521","7.2","1.8","2.6","0.9","0.6","1.4","9","9.9","11.6","6.7","104.7","107.8"
"","Luka Garza","Bos","*","C","27.2","55","15.6","16.5","11.9","92","0.761","162","0.642","90","0.433","0.645","0.675","7.2","3.9","0.9","0.4","0.4","0.6","11.1","8.1","12","7.5","142.7","101.9"
"","Kyle Anderson","Uta","","F-G","32.5","20","20.1","14.7","13.5","38","0.658","104","0.519","5","0.6","0.537","0.565","7.1","3.3","3.1","1.2","0.5","0.9","10.4","10.2","13.5","8.3","121.7","112.8"
"","Lawson Lovering","Mem","*","C","22.8","2","24.7","11.9","16.4","5","0.4","10","0.6","0","0","0.6","0.574","7","7.5","1.5","1.5","0.5","1","14.5","8.5","16","6.9","122.4","102.3"
"","Julian Strawther","Den","*","G","23.9","43","15.3","19.1","10.7","60","0.8","122","0.566","111","0.342","0.541","0.578","7","2","1","0.5","0.1","0.7","9","8","10","6.3","112.4","111.7"
"","Patrick Williams","Chi","*","F","24.5","56","19.5","16.8","13.2","50","0.7","160","0.4","200","0.38","0.494","0.512","7","2.9","1.4","0.6","0.3","1","9.9","8.4","11.3","6.3","101.3","115"
"","Jaxson Hayes","Lal","*","C-F","25.8","54","17.7","12.5","10.8","97","0.67","204","0.75","2","1","0.757","0.758","7","4","0.9","0.4","0.6","0.5","11","7.9","11.9","6.6","153","108.2"
"","Will Richard","Gol","*","G","23.2","55","19.5","14.2","13","51","0.843","118","0.669","176","0.347","0.58","0.607","7","2.5","1.4","1.2","0.1","0.8","9.5","8.4","11","6","120.9","108.8"
